 Day    Jan.     Feb.     Mar.     Apr.     May      June     July     Aug.     Sep.     Oct.     Nov.     Dec.
                                                                                                               
 01     0.52     0.63     0.54     0.67     0.72     0.87     0.93     0.99     0.99     0.98     0.94     0.93
 02     0.62     0.72     0.64     0.76     0.81     0.94     0.98     1.00     0.96     0.95     0.88     0.87
 03     0.71     0.80     0.73     0.85     0.90     0.99     1.00     0.98     0.91     0.90     0.82     0.80
 04     0.79     0.87     0.82     0.92     0.96     1.00     0.99     0.93     0.85     0.83     0.74     0.71
 05     0.86     0.93     0.89     0.97     0.99     0.98     0.96     0.87     0.77     0.76     0.65     0.62
 06     0.92     0.97     0.95     1.00     1.00     0.94     0.90     0.80     0.69     0.67     0.55     0.52
 07     0.97     1.00     0.99     0.99     0.97     0.87     0.83     0.71     0.60     0.58     0.45     0.41
 08     0.99     0.99     1.00     0.96     0.92     0.79     0.75     0.62     0.51     0.48     0.35     0.30
 09     1.00     0.97     0.98     0.89     0.84     0.70     0.65     0.53     0.41     0.39     0.25     0.21
 10     0.98     0.91     0.94     0.81     0.75     0.60     0.56     0.43     0.32     0.29     0.16     0.12
 11     0.94     0.84     0.87     0.71     0.65     0.50     0.46     0.34     0.23     0.20     0.09     0.05
 12     0.88     0.74     0.78     0.60     0.54     0.40     0.37     0.25     0.15     0.12     0.03     0.01
 13     0.80     0.64     0.67     0.50     0.44     0.31     0.28     0.18     0.08     0.06     0.00     0.00
 14     0.71     0.53     0.56     0.39     0.34     0.22     0.20     0.11     0.03     0.02     0.01     0.02
 15     0.60     0.41     0.45     0.29     0.25     0.15     0.13     0.05     0.01     0.00     0.04     0.07
 16     0.49     0.31     0.35     0.21     0.17     0.09     0.07     0.02     0.00     0.01     0.10     0.14
 17     0.37     0.21     0.25     0.13     0.11     0.04     0.03     0.00     0.03     0.06     0.18     0.23
 18     0.27     0.13     0.16     0.07     0.06     0.01     0.01     0.01     0.08     0.13     0.28     0.33
 19     0.17     0.07     0.10     0.03     0.02     0.00     0.00     0.04     0.15     0.22     0.38     0.43
 20     0.10     0.02     0.05     0.01     0.00     0.01     0.02     0.10     0.25     0.32     0.49     0.53
 21     0.04     0.00     0.01     0.00     0.00     0.04     0.06     0.18     0.35     0.43     0.59     0.63
 22     0.01     0.01     0.00     0.01     0.02     0.08     0.12     0.27     0.46     0.54     0.69     0.72
 23     0.00     0.03     0.01     0.04     0.06     0.15     0.20     0.38     0.58     0.65     0.78     0.80
 24     0.02     0.07     0.03     0.09     0.11     0.23     0.30     0.49     0.68     0.74     0.85     0.87
 25     0.05     0.12     0.08     0.15     0.18     0.32     0.40     0.61     0.78     0.83     0.92     0.93
 26     0.11     0.19     0.13     0.23     0.26     0.43     0.52     0.71     0.86     0.90     0.96     0.97
 27     0.18     0.27     0.20     0.31     0.36     0.54     0.63     0.81     0.93     0.95     0.99     0.99
 28     0.26     0.36     0.28     0.41     0.46     0.65     0.74     0.89     0.97     0.98     1.00     1.00
 29     0.35     0.45     0.37     0.51     0.57     0.76     0.83     0.95     0.99     1.00     0.99     0.99
 30     0.44              0.47     0.62     0.68     0.85     0.91     0.98     1.00     1.00     0.97     0.96
 31     0.53              0.57              0.78              0.96     1.00              0.97              0.91
